pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_sum_prob_none	0.4894445175961055	0.6996031143413425	8.802551778024535e-28	0.4406263869207132	0.6637969470558849	3.1372511990287654e-24	0.574550341278534	0.7579909902357244	7.280734700680605e-35	0.3943469102192873	0.6279704692254942	1.4302778508300786e-60
sum_sum_prob_filter0	0.5818226649330112	0.7627730100973756	1.5598796139381098e-35	0.6013515648982942	0.7754686098729556	2.1751357100527323e-37	0.613232967293997	0.7830919277415628	1.4581408820235776e-38	0.44585613278954733	0.6677245935185758	5.561817252524156e-71
sum_sum_prob_prefix0	4.106472369119368e-05	0.006408176315551382	0.9319619804462285	0.0012352756060196772	0.0351464878191218	0.6394990794527036	4.9599843699962884e-05	0.00704271564809789	0.9252435367890038	0.07268034961171391	0.26959293316352695	1.908297662334907e-10
sum_sum_pplx_none	0.1303598746243604	-0.36105383895530097	6.381673157462535e-07	0.1113814833807666	-0.3337386453211054	4.686917249690932e-06	0.13111412734636343	-0.36209684802047565	5.891617377202289e-07	8.460732112899828e-05	-0.009198223802941429	0.8311268201899511
sum_sum_count_none	0.0002382981955112348	-0.015436910167233428	0.8370430128295332	0.0024993928789502065	-0.04999392842086133	0.5051024196423679	0.0007467677820954788	-0.02732705220281688	0.715749974160628	0.056315896518874184	0.23730970590954384	2.3813923357645794e-08
sum_sum_count_filter0	0.01767838245138481	-0.1329600784122242	0.07518607344075691	0.01716880596570409	-0.13102979037495285	0.07955586576350566	0.015743522326851098	-0.1254731936584508	0.09328639314810487	0.02489037857025231	0.15776684876821337	0.00023254835330806012
sum_sum_count_prefix0	0.07454836377134738	0.2730354624794138	0.0002086170296732771	0.03201680334991939	0.1789323988268178	0.01624633692455538	0.03562160749258972	0.1887368736961321	0.011168683884219299	0.16008596461461416	0.4001074413387161	3.5417667487901604e-22
sum_sum_normcount_none	5.270645499755481e-06	-0.0022957886443998893	0.9755991550791027	1.1432157925597148e-05	-0.0033811474273679858	0.9640698863764736	2.2582248086892533e-05	-0.004752078291326073	0.94951805481435	0.06457380040500194	0.2541137548520385	2.0985695890547528e-09
sum_sum_normcount_filter0	0.015116152119145406	-0.12294776174922993	0.1001204764894269	0.00883886786458824	-0.09401525336129367	0.20935466047357232	0.012416962391167153	-0.11143142461248152	0.13642521975615945	0.03110445921873741	0.17636456338714251	3.769160995820427e-05
sum_sum_normcount_prefix0	0.08267035224503386	0.2875245245975269	9.091603980330724e-05	0.05163409725039302	0.22723137382499148	0.0021577048018271115	0.04716335552175415	0.2171712585075524	0.0034072085230713338	0.16934849253295067	0.4115197352897558	1.7448968494053588e-23
sum_mean_prob_none	0.4894446797976306	0.6996032302652916	8.8023014633702e-28	0.4406263869207132	0.6637969470558849	3.1372511990287654e-24	0.5745503412785338	0.7579909902357242	7.280734700680942e-35	0.39434698669265456	0.6279705301147933	1.4302291340952585e-60
sum_mean_prob_filter0	0.5818227791648178	0.7627730849766645	1.5598415407039527e-35	0.6013515648982941	0.7754686098729555	2.1751357100528133e-37	0.613232967293997	0.7830919277415628	1.4581408820235776e-38	0.4458561930086651	0.6677246386113553	5.561654297245582e-71
sum_mean_prob_prefix0	4.0915864040040495e-05	0.00639655094875672	0.9320851150653102	0.001235275606019678	0.035146487819121816	0.6394990794527036	4.959984369996324e-05	0.007042715648097915	0.9252435367890038	0.07267229686153262	0.2695779977326277	1.9128616939462029e-10
sum_mean_pplx_none	0.13036007000898875	-0.3610541095306751	6.381541117244072e-07	0.1113814833807666	-0.3337386453211054	4.686917249690932e-06	0.13111412734636343	-0.36209684802047565	5.891617377202289e-07	8.637666761380488e-05	-0.009293904863608454	0.8293969853688714
sum_mean_count_none	0.000237608449709204	-0.01541455317903195	0.8372757459758045	0.0024993928789502086	-0.04999392842086135	0.5051024196423585	0.0007467677820954786	-0.027327052202816875	0.715749974160628	0.05631087485735196	0.23729912527725835	2.3849038147365015e-08
sum_mean_count_filter0	0.01767552350714991	-0.13294932683977723	0.07520986338560266	0.017168805965704075	-0.1310297903749528	0.07955586576350566	0.015743522326851098	-0.1254731936584508	0.09328639314810487	0.024880693634320536	0.1577361519573764	0.0002332107576368958
sum_mean_count_prefix0	0.07456532393487596	0.2730665192492041	0.00020825605704810385	0.03201680334991939	0.1789323988268178	0.01624633692455538	0.03562160749258972	0.1887368736961321	0.011168683884219299	0.1600962660003185	0.4001203144059528	3.529989750494016e-22
sum_mean_normcount_none	5.079228997863598e-06	-0.002253714488985594	0.976046206772119	1.1432157925597125e-05	-0.0033811474273679823	0.9640698863764736	2.2582248086892624e-05	-0.004752078291326083	0.94951805481435	0.0645752693524329	0.2541166451699552	2.097660644193092e-09
sum_mean_normcount_filter0	0.015109642195892047	-0.1229212845519117	0.10019416838993798	0.008838867864588243	-0.09401525336129368	0.20935466047357232	0.012416962391167156	-0.11143142461248154	0.13642521975615945	0.031098108015161767	0.1763465565730212	3.7761621931619424e-05
sum_mean_normcount_prefix0	0.0827015485274483	0.28757876925713466	9.062598153443119e-05	0.051634097250392995	0.22723137382499142	0.0021577048018271115	0.04716335552175415	0.2171712585075524	0.0034072085230713338	0.1693696828473896	0.4115454808977856	1.7328575109149675e-23
sum_median_prob_none	0.5097605252633319	0.7139751573152472	2.3253227469970264e-29	0.20230402060251074	0.4497821924026236	2.3856127369305344e-10	0.5614227106869304	0.749281462927604	1.1008203314131554e-33	0.4172603007561133	0.6459568876915187	4.3420657344801714e-65
sum_median_prob_filter0	0.5773328473025067	0.7598242213186591	4.050646225951278e-35	0.45199490013795063	0.6723056597545127	4.983157314728777e-25	0.5646794672850303	0.7514515734796423	5.654482432478885e-34	0.4202798021295312	0.6482899059290768	1.0696300898191647e-65
sum_median_prob_prefix0	3.917677377178649e-08	-0.00019793123495746317	0.9978959602649071	0.0003996312720362927	0.019990779675547743	0.789959992158896	6.524009247476749e-05	-0.008077133927004522	0.9143027487720159	0.07084873988506016	0.26617426600830546	3.284378637041382e-10
sum_median_pplx_none	0.14556400343761822	-0.3815285093379238	1.2615414058532304e-07	0.1177526271655811	-0.34315102675874526	2.4080442983059513e-06	0.1301580729011448	-0.3607742686239483	6.519506848439658e-07	0.0011164581691741288	-0.03341344294103989	0.4384133152013351
sum_median_pplx_filter0	0.08524734858249745	-0.29197148590658206	6.981250756392794e-05	0.08366705343454228	-0.28925257723059666	8.209029488325073e-05	0.08045224528161565	-0.2836410500643651	0.0001140946973325587	0.005236562602917981	0.07236409747186778	0.09297757662292605
sum_median_count_none	0.00013043191358322513	-0.011420679208489534	0.8790591827266226	0.0012871626631976742	-0.035877049254330745	0.632549331794214	0.0006108033758731108	-0.024714436588219257	0.7419143943047952	0.057972948066028755	0.24077572150453366	1.4641060392506392e-08
sum_median_count_filter0	0.017544962310064114	-0.1324573980948747	0.07630488571299059	0.015015345744421541	-0.12253711986341748	0.10126821521400259	0.01686117456882977	-0.1298505855544355	0.08232458352693714	0.02554663792717158	0.1598331565325905	0.00019179666167563794
sum_median_count_prefix0	0.048160713436420685	0.21945549306504197	0.0030767748782323215	0.020722356945889378	0.14395262048983123	0.05386438913031647	0.01815154045833692	0.13472765290888475	0.07135702730378263	0.13854600434828013	0.37221768408859907	3.452370555421823e-19
sum_median_normcount_none	5.079228997863598e-06	-0.002253714488985594	0.976046206772119	1.1432157925597125e-05	-0.0033811474273679823	0.9640698863764736	2.2582248086892624e-05	-0.004752078291326083	0.94951805481435	0.0645752693524329	0.2541166451699552	2.097660644193092e-09
sum_median_normcount_filter0	0.015029886033952354	-0.12259643564946068	0.10110178919537054	0.008779656750287131	-0.09369982257340262	0.21089381421413217	0.012601326179694457	-0.11225562872165679	0.13353124082330364	0.03109607685327319	0.17634079747260187	3.7784039758257704e-05
sum_median_normcount_prefix0	0.057906015227812184	0.24063668720253814	0.00113817427236768	0.04674722526176922	0.21621106646462207	0.0035554258478329927	0.031554791270487124	0.17763668334690086	0.017049086067433765	0.1510134941957791	0.38860454731742283	6.5575440467706615e-21
sum_geomean_prob_none	0.5207181871361642	0.7216080564518139	3.0776541134401983e-30	0.35201125207235456	0.5933053615739154	1.6904862460443398e-18	0.6439835868381326	0.8024858795256977	8.936976687726262e-42	0.4003373686207435	0.6327221891325951	9.793024737119366e-62
sum_geomean_prob_filter0	0.581371755374864	0.7624773802381707	1.7175582761883632e-35	0.5246299621158309	0.7243134418991759	1.4786470404238773e-30	0.5385973294698015	0.7338919058484032	1.0270084874266244e-31	0.41555060391107146	0.6446321461974042	9.568220755599629e-65
sum_geomean_prob_prefix0	0.015814361116613426	0.12575516337953455	0.09254696281075399	0.0355835026511491	0.18863589968812697	0.011212869659177449	0.003936718783614573	-0.06274327680010483	0.4027332777396496	0.10529744565561865	0.3244956789475303	1.047412562322226e-14
sum_geomean_pplx_none	0.14041771682482326	-0.3747235205118879	2.189253994538893e-07	0.11743195247191311	-0.3426834581241311	2.49032599394361e-06	0.13019370593178528	-0.360823649352125	6.494956101556229e-07	0.00083232177799987	-0.028849987486996766	0.5034962118332009
sum_geomean_count_none	0.00018247690726791457	-0.013508401358706906	0.857168408887117	0.0017230419540811921	-0.041509540518791486	0.5800801597291168	0.0006619949162114707	-0.025729261866821417	0.7317141936440896	0.05788576152741024	0.24059459995479998	1.5020796267807694e-08
sum_geomean_count_filter0	0.02291901579174366	-0.1513902764108173	0.042491774056250674	0.018153243018952176	-0.13473397128769038	0.0713436297540671	0.018903928466072414	-0.13749155779927877	0.0656886208924587	0.022074297400310854	0.1485742151260132	0.0005326123257796319
sum_geomean_count_prefix0	0.1356559094054209	0.36831495951891624	3.6374569323906076e-07	0.10219634861632676	0.31968163634517194	1.2174304113367847e-05	0.010355852822641645	0.1017637107354171	0.1740441649996374	0.19802110341717827	0.4449956217955164	1.2724004789401498e-27
sum_geomean_normcount_none	5.079228997863598e-06	-0.002253714488985594	0.976046206772119	1.1432157925597125e-05	-0.0033811474273679823	0.9640698863764736	2.2582248086892624e-05	-0.004752078291326083	0.94951805481435	0.0645752693524329	0.2541166451699552	2.097660644193092e-09
sum_geomean_normcount_filter0	0.0199635286002972	-0.1412923515279479	0.0585000649822573	0.010597498500824358	-0.10294415233914143	0.16907717862694405	0.014850035396556502	-0.12186072130328338	0.10318136701385208	0.02717091051496741	0.1648360109774785	0.00011912557979634354
sum_geomean_normcount_prefix0	0.14530239459919567	0.38118551205311524	1.2974744601430597e-07	0.1377158015015626	0.37110079695624826	2.920982199742003e-07	0.01724220067949313	0.13130956050300804	0.07891011976548279	0.20704846507089653	0.45502578506156827	5.924215444578622e-29
sum_max_prob_none	0.4870260246429576	0.6978724988441353	1.3437640555786198e-27	0.43769585841182534	0.6615858662424896	5.01107791874604e-24	0.5589923014552367	0.7476578772775933	1.8040271070246986e-33	0.39134772022432224	0.6255779089964113	5.421916164538234e-60
