pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_sum_prob_none	0.447669315279837	0.669080948226623	1.0079513912880435e-24	0.3689832225675245	0.6074398921436791	1.5567678522709788e-19	0.481954580299594	0.6942294867690323	3.241890739076119e-27	0.29444120735267054	0.5426243704006212	1.1359900331032338e-42
sum_sum_prob_filter0	0.5300984722629902	0.728078616814826	5.253378882951914e-31	0.48827894792069954	0.698769595732885	1.0795807781960922e-27	0.5061792619215669	0.711462762146809	4.459792216068072e-29	0.3288315485673866	0.5734383563796431	1.5628477897774016e-48
sum_sum_prob_prefix0	5.61796000924051e-05	-0.007495305203419345	0.9204547604746918	0.00024386131146206748	0.01561605940889274	0.8351786063293177	4.730252185318618e-06	-0.002174914293786911	0.9768835046397039	0.038609849812294546	0.19649389255723584	4.215837586473886e-06
sum_sum_pplx_none	0.14323001745572458	-0.3784574182860267	1.620376706113644e-07	0.14058496158483283	-0.374946611646022	2.1504741548677629e-07	0.15345907393379357	-0.39173852750756283	5.387226828984655e-08	0.0064001431786004735	-0.0800008948612481	0.06320831797214975
sum_sum_count_none	0.0007420711382561795	-0.027240982696227746	0.7166068713362259	0.004200614710298744	-0.06481214940347793	0.3873695075136111	0.0016967898233284907	-0.0411921087506878	0.5829827509322234	0.027442947460099013	0.1656591303251922	0.00011000069623322132
sum_sum_count_filter0	0.021052934860362197	-0.14509629512969033	0.05196711726026375	0.02222245210675033	-0.14907196955413962	0.045797951715533906	0.020036686761546806	-0.14155100409939453	0.058035390770843694	0.00788337167371843	0.08878835325490855	0.03915552509543354
sum_sum_count_prefix0	0.06777501184968737	0.2603363436973166	0.0004163395020203344	0.03135641048222199	0.17707741381164904	0.01740610243690179	0.03438691667175871	0.18543709626652027	0.012694696621190344	0.10498295740291028	0.32401073655499485	1.1529299373356427e-14
sum_sum_normcount_none	0.00019644893320052272	-0.01401602415810285	0.8518615037260869	0.0005018154013593467	-0.02240123660335176	0.7653309023400245	0.0005779024258053641	-0.02403960119896676	0.7487223907842282	0.033103527224759406	0.18194374741869918	2.1022164221307176e-05
sum_sum_normcount_filter0	0.01821007425374774	-0.13494470813539797	0.07089795120383129	0.013399424805995187	-0.11575588454154366	0.12176319296203646	0.01757582101490329	-0.13257383231582048	0.07604454808811478	0.011424145028165163	0.10688379216777988	0.012950711114184077
sum_sum_normcount_prefix0	0.0753875214305112	0.2745678812798598	0.00019148358409012584	0.04936674798012839	0.22218629116155747	0.0027199282668525764	0.04329069349829634	0.20806415716863955	0.00506664086528628	0.11219081289993674	0.33494897059094947	1.2682442776930174e-15
sum_mean_prob_none	0.4476694500064006	0.6690810489069322	1.0079293616663178e-24	0.36898322256752464	0.6074398921436792	1.556767852270954e-19	0.481954580299594	0.6942294867690323	3.241890739076119e-27	0.2944412698265757	0.5426244279670569	1.1359628566092958e-42
sum_mean_prob_filter0	0.530098571243127	0.7280786847883455	5.2532799184940625e-31	0.48827894792069954	0.698769595732885	1.0795807781960922e-27	0.5061792619215669	0.711462762146809	4.459792216068072e-29	0.32883159868343076	0.5734384000774894	1.562816280661698e-48
sum_mean_prob_prefix0	5.653315288286204e-05	-0.007518853162741113	0.9202056801069031	0.0002438613114620671	0.015616059408892729	0.8351786063293177	4.730252185318501e-06	-0.002174914293786884	0.9768835046397039	0.038603109907426617	0.19647674139049287	4.224134990095085e-06
sum_mean_pplx_none	0.14325192810963422	-0.3784863644963108	1.6165774676940996e-07	0.1405849615848328	-0.37494661164602194	2.1504741548677885e-07	0.15345907393379357	-0.39173852750756283	5.387226828984655e-08	0.00641750664564101	-0.08010934181255648	0.06285020685686867
