pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_sum_prob_none	0.42641898612150186	0.6530076462963522	2.971313611209955e-23	0.35587619276011156	0.5965535958823076	9.873686307459495e-19	0.5005077846756444	0.7074657480582678	1.2390686188789803e-28	0.2699467998495581	0.5195640478801031	1.1505947239688646e-38
sum_sum_prob_filter0	0.5085780229587873	0.713146564851004	2.884677123545299e-29	0.4727240847352518	0.687549332582944	1.575945405458165e-26	0.5324700982508452	0.7297054873377651	3.341295002667321e-31	0.30200728021731854	0.5495518903773496	6.171478525433423e-44
sum_sum_prob_prefix0	2.015155703140341e-05	0.004489048566389476	0.952308855151839	0.0013785656984591796	0.03712904117344238	0.6207140250404355	0.00044802336322821387	0.021166562385711428	0.7779186450444665	0.036092003245245016	0.18997895474300572	8.7881181117124e-06
sum_sum_pplx_none	0.1347318579389285	-0.36705838491843296	4.013076653818197e-07	0.1271255935483936	-0.3565467620781229	8.984078874666072e-07	0.13712123699277556	-0.37029884821961784	3.112041727649542e-07	0.006594808816787751	-0.08120842823739265	0.059314353781071937
sum_sum_count_none	0.00017446661874776504	-0.013208581254160684	0.8603058819602168	0.0017313069651940334	-0.04160897697846023	0.5791722979104474	0.00029849317428006666	-0.017276955006020785	0.817938688516982	0.026186605880124166	0.1618227606986241	0.00015896662878699637
sum_sum_count_filter0	0.017039555763241468	-0.1305356493960231	0.08070680891437294	0.015934535470396173	-0.12623206989666363	0.09130696307190246	0.013885204547500286	-0.11783549782429863	0.11516212354214594	0.007574130020951712	0.08702947788509197	0.0432246405859421
sum_sum_count_prefix0	0.07332974930245324	0.27079466261810486	0.0002362545819590496	0.0403873644280973	0.2009660778044327	0.00682810039086524	0.04348061687342473	0.2085200634793322	0.004968856643766385	0.09972036241587882	0.3157853106398061	5.72140032101096e-14
sum_sum_normcount_none	5.608952579969374e-10	-2.3683227356020068e-05	0.9997482433426511	1.2246571630624355e-12	1.1066422922798656e-06	0.9999882360638443	2.8499746204771817e-12	1.688186784830749e-06	0.999982054393074	0.031485871524021256	0.17744258655695158	3.371699844222902e-05
sum_sum_normcount_filter0	0.014484234942729522	-0.12035046714794888	0.10755583464966777	0.00873815574236813	-0.09347810301010676	0.21198054737467054	0.011829495390514087	-0.10876348371817669	0.146122618760528	0.010890245636758495	0.10435633970563789	0.015265013683141346
sum_sum_normcount_prefix0	0.08104817503461163	0.2846896117434067	0.00010734395739588428	0.06004670440552872	0.24504429070176012	0.0009151060566971336	0.05344083433601736	0.23117273700853516	0.0017944138281151582	0.10650713228819317	0.3263543048409093	7.238641820424523e-15
sum_mean_prob_none	0.42641909611205675	0.6530077305147748	2.9712625274256135e-23	0.35587619276011145	0.5965535958823075	9.873686307459648e-19	0.5005077846756443	0.7074657480582677	1.239068618879017e-28	0.2699468509418018	0.5195640970484795	1.150572955915185e-38
