pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_sum_prob_none	0.5088601912435546	0.7133443707239545	2.7401816052449554e-29	0.43677605124867314	0.6608903473713874	5.801652197806169e-24	0.5813471624595764	0.7624612530873791	1.7265974999770597e-35	0.37789715113110206	0.6147333984184543	1.9736738415171675e-57
sum_sum_prob_filter0	0.6000291089085253	0.7746154587332513	2.9239260962614168e-37	0.5675097656405783	0.7533324403213885	3.156492271520419e-34	0.6050511118173976	0.777850314531914	9.458073768058067e-38	0.42001565606669483	0.6480861486459149	1.2094489309260468e-65
sum_sum_prob_prefix0	7.822647282310202e-05	0.008844573071839138	0.9061960090514339	0.0015025498198549781	0.03876273751755645	0.6054159850001164	0.000167803957394101	0.012953916681610276	0.8629725444998725	0.04877911848339764	0.2208599521945924	2.1649398183887855e-07
sum_sum_pplx_none	0.12600694493208384	-0.354974569416013	1.0110050819824232e-06	0.11913971694256821	-0.3451662163980829	2.082113181038318e-06	0.12848310277047154	-0.35844539719526536	7.783562190606935e-07	0.0031746616584908136	-0.0563441359725288	0.19110268384105597
sum_sum_count_none	0.0001706639833740181	-0.013063842596036516	0.8618212883847151	0.0020448896956430087	-0.04522045660586599	0.5466564717356227	0.00048195403809368314	-0.021953451621412136	0.7698892508373375	0.036254074877048785	0.19040502849727678	8.382230916300447e-06
sum_sum_count_filter0	0.016883084778783645	-0.12993492516942334	0.08212401973661249	0.016564941211593597	-0.128704860870107	0.08508837562728301	0.014531687999306193	-0.12054745123521357	0.10697714410362649	0.012369329239744457	0.11121748621392437	0.009695602628847276
sum_sum_count_prefix0	0.07534729509174017	0.27449461760067384	0.00019227193306470521	0.03657333336081076	0.19124155761970452	0.010120628838144035	0.038398428345286846	0.19595516922318443	0.008381369100704564	0.12671250953071508	0.3559670062389422	1.4153304809375438e-17
sum_sum_normcount_none	1.8416230673983233e-09	-4.291413598569035e-05	0.9995438155625425	3.458268705369558e-12	1.8596420906641036e-06	0.9999802314761025	6.30033327076449e-12	2.510046467849647e-06	0.999973317634862	0.04265009255705208	0.20651898836923466	1.296948480771266e-06
sum_sum_normcount_filter0	0.014412066938470086	-0.12005026838149961	0.10844246851214534	0.008634390138603948	-0.09292141915943787	0.21472673874066348	0.011460698746659916	-0.10705465308271246	0.15260320479374503	0.016599306199238842	0.12883829476999004	0.002704197563460708
sum_sum_normcount_prefix0	0.08350094667424734	0.28896530358201716	8.349956864125161e-05	0.056933654258114176	0.2386077414044108	0.0012567500247362392	0.05001723258075999	0.2236453276524238	0.002545043601274659	0.13498731247119425	0.3674061954719793	1.0598329717129194e-18
sum_mean_prob_none	0.5088603595472382	0.7133444886919911	2.740097591577871e-29	0.43677605124867314	0.6608903473713874	5.801652197806169e-24	0.5813471624595764	0.7624612530873791	1.7265974999770597e-35	0.3778972443909755	0.6147334742723675	1.9735940116107728e-57
